   6.4244635e-01   4.7502988e-01   2.2520896e-01  -9.9236211e-01   6.3193885e-01   7.0411032e-01  -1.4122540e-01
   1.1505760e+00   1.0975327e+00   6.4289986e-01   1.4703904e+00   8.2589231e-01   1.6051478e+00   1.2352579e+00
  -4.5652023e-01  -3.1584662e-01   4.6738976e-01  -3.9651621e-01   6.9600095e-02  -1.2265023e+00  -3.1662584e-01
  -9.8917425e-01  -1.2628934e-03   9.3444482e-01  -6.6595969e-02  -1.4388245e+00  -6.2868836e-01  -7.8002716e-01
  -2.3202617e-01  -1.4461567e+00  -4.5305428e-01   5.8166726e-01   1.1226479e+00  -1.0981954e+00   6.6578416e-01
   3.2693096e-02   3.4049657e-02   7.8511488e-01  -8.5448472e-01   2.4634044e-01   1.7260316e-02  -3.5109253e-01
  -5.1510337e-02   7.7451484e-02  -5.1967003e-01  -2.6828578e-01  -5.0869317e-01   3.9608617e-01  -2.8809550e-01
   6.4731655e-01   1.2491845e+00   6.9835782e-02  -1.0106738e+00  -5.8430213e-01   1.8174717e+00  -5.5242088e-01
  -7.0372179e-01   9.0557537e-01   5.4792426e-01  -2.7378242e-01  -2.3774543e+00   7.2864159e-01  -1.1221607e+00
  -3.6249980e-01  -3.2110887e-01   3.9362527e-01  -7.4808884e-01   1.3986037e-01  -1.0169919e+00  -4.3409519e-01
   2.8224756e-02   2.4301919e-01   2.3908761e-01  -1.5868470e+00   2.3714877e-01  -6.2021421e-01  -7.4356188e-01
  -4.4514892e-01   4.1097673e-01   1.0141659e+00  -8.5980623e-01  -6.9297149e-01  -5.3057504e-01  -8.2594329e-01
   8.7520889e-01   1.0003911e+00   5.4036217e-01   8.6684073e-01   3.2130706e-01   1.5949389e+00   7.1794975e-01
  -9.0618186e-01  -3.5329315e-01   1.6837033e-01   3.1768798e-01  -1.0214662e+00  -9.7781423e-01  -4.0772178e-01
  -6.0418035e-01  -2.1893807e-01   1.1287994e-01  -2.0572512e+00  -9.6433308e-01  -1.1256376e-01  -1.4594996e+00
  -1.0728193e+00  -6.5959960e-01  -4.3833853e-01  -1.8892361e+00  -1.2385659e+00  -1.0598015e+00  -1.5711256e+00
   1.7629728e+00   1.4422307e+00   5.4704686e-01  -1.9526079e-01   1.5246805e+00   2.0875931e+00   7.8511488e-01
